SiteName,Municipality,ProgramCategory,EnforcementTypeDescription,IssuedDate,DocumentNumber,PenaltyCashAssessed,Comment
,,GEN-SW,Notice Of Non-Compliance,5/27/20,,0,WB VIOLATIONS OCCURED ON 03/03/2020 AT PEABODY WOOD TRANSFER STATION. CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,5/27/20,,0,WB VIOLATIONS OCCURED ON 03/03/2020 AT PEABODY WOOD TRANSFER STATION. COMMERCIAL ORGANIC MATERIAL FOOD WASTE
,,GEN-SW,Notice Of Non-Compliance,5/27/20,,0,WB VIOLATIONS OCCURED ON 03/06/2020 AT EL HARVEY TRANSFER STATION. CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,5/27/20,,0,WB VIOLATIONS OCCURED ON 03/03/2020 AT PEABODY WOOD TRANSFER STATION. CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,5/27/20,,0,WB VIOLATIONS OCCURED ON 03/03/2020 AT PEABODY WOOD TRANSFER STATION. CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,5/27/20,,0,WB VIOLATIONS OCCURED ON 03/03/2020 AT PEABODY WOOD TRANSFER STATION. COMMERCIAL ORGANIC MATERIAL FOOD WASTE
,,GEN-SW,Notice Of Non-Compliance,5/27/20,,0,WB VIOLATIONS OCCURED ON 03/03/2020 AT PEABODY WOOD TRANSFER STATION. RECYCLABLE PAPER CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,5/27/20,,0,WB VIOLATIONS OCCURED ON 03/03/2020 AT PEABODY WOOD TRANSFER STATION. COMMERCIAL ORGANIC MATERIAL FOOD WASTE
,,GEN-SW,Notice Of Non-Compliance,5/27/20,,0,WB VIOLATIONS OCCURED 03/11/2020 AT POST RD TRANSFER STATION. CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,5/27/20,,0,WB VIOLATIONS OCCURED ON 03/06/2020 AT EL HARVEY TRANSFER STATION. CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,5/27/20,,0,WB VIOLATIONS OCCURED ON 03/11/2020 AT POST RD TRANSFER STATION. CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,5/27/20,,0,WB VIOLATIONS OCCURED ON 03/12/2020 AT DEVENS RECYCLING CENTER. CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,5/27/20,,0,WB VIOLATIONS OCCURED ON 03/06/2020 AT EL HARVEY TRANSFER STATION. CARDBOARD
,,GEN-SW,"Administrative Consent Order, With Penalty",5/26/20,,860,WASTE BAN HLE FROM 9/19/2019 AT BRAINTREE TS. CARDBOARD PAID 10-JUL-2020 RTC 27-JUL-2020
,,GEN-SW,Notice Of Non-Compliance,5/20/20,,0,OCC OBS AT HOWARD TS 2/25/20
,,GEN-SW,Notice Of Non-Compliance,5/20/20,,0,LOAD ORIGNATED FROM DOUBLE TREE HOREL BOSTON OBS AT HOWARD TS 2/25/20 OCC AND SINGLE STREAM RECYCLING
,,GEN-SW,Notice Of Non-Compliance,5/20/20,,0,LOAD ORIGINATED FROM HOLIDAY INN EXPRESS BOSTON OCC AND METAL OBS AT HOWARD TS 2/25/20
,,GEN-SW,Notice Of Non-Compliance,5/20/20,,0,OCC OBS AT HOWARD TS 2/25/20
,,GEN-SW,Notice Of Non-Compliance,5/20/20,,0,OCC OBS AT HOWARD TS 2/25/20. LOAD ORIGINATED FROM KEYSPAN FACILITY W. ROXBURY
,,GEN-SW,Notice Of Non-Compliance,5/20/20,,0,OBS AT HOWARD TS 2/25/20
,,GEN-SW,Notice Of Non-Compliance,5/7/20,,0,WASTE BAN NON
,,GEN-SW,Notice Of Non-Compliance,5/7/20,,0,WASTE BAN NON - CARDBOARD
,,HAULER,Notice Of Non-Compliance,1/7/20,,0,WASTE BAN VIOLATION - DEP STAFF OBSERVED COLLECTION OF CARDBOARD IN BOSTON AS TRASH
,,GEN-SW,Notice Of Non-Compliance,5/7/20,,0,WASTE BAN NON
,,GEN-SW,Notice Of Non-Compliance,5/7/20,,0,WASTE BAN NON
,,GEN-SW,Notice Of Non-Compliance,5/7/20,,0,WASTE BAN NON
,,GEN-SW,Notice Of Non-Compliance,5/7/20,,0,WASTE BAN NON
,,GEN-SW,"Administrative Consent Order, With Penalty",5/1/20,,860,"ACOP-PRIOR NON, CARDBOARD"
,,GEN-SW,"Administrative Consent Order, With Penalty",4/23/20,,5860,ACOP FOR MULTIPLE WASTE BAN VIOLATIONS - PRIMARILY FOR CARDBOARD. PEN PAID 19-MAY-2020. REVISED RTC 17-JUL-2020
,,GEN-SW,"Administrative Consent Order, With Penalty",3/13/20,,2580,ACOP FOR NONS AND FAILED LOADS
,,GEN-SW,Notice Of Non-Compliance,3/10/20,,0,VIOLATION OCCURED AT AUBURN TRANSFER STATION CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,3/10/20,,0,VIOLATION OCCURED AT AUBURN TRANSFER STATION CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,3/10/20,,0,VIOLATION OCCURED AT AUBURN TRANSFER STATION CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,3/10/20,,0,VIOLATION OCCURED AT AUBURN TRANSFER STATION. CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,3/10/20,,0,VIOLATION OCCURED AT AUBURN TRANSFER STATION CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,3/9/20,,0,VIOLATION OCCURED AT AUBURN TRANSFER STATION CARDBOARD
,,GEN-SW,"Administrative Consent Order, With Penalty",3/9/20,,1720,"WOOD AND CARDBOARD OBS AT HOLYOKE TRANSFER STATION 11/22/19, ORIGANTED FROM 53 SUMMIT LOCK RD WESTFIELD, MA. PRIOR ACOP"
,,GEN-SW,Notice Of Non-Compliance,3/9/20,,0,VIOLATION OCCURED AT WHEELABRATOR MILBURY. CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,3/9/20,,0,VIOLATION OCCURED AT HOLLISTON TRANSFER STATION. CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,3/9/20,,0,VIOLATION OCCURED AT HOLLISTON TRANSFER STATION. CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,3/9/20,,0,VIOLATION OCCURED AT EL HARVEY IN WESTBORO CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,3/9/20,,0,CARDBOARD OBS AT HOWARD TS DEC 12 2019
,,GEN-SW,Notice Of Non-Compliance,3/9/20,,0,VIOLATION OCCURED AT AUBURN TRANSFER STATION CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,3/9/20,,0,VIOLATION OCCURED AT HOLLISTON TRANSFER STATION CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,3/9/20,,0,CARDBOARD OBS AT DEVENS
